Sales Person,Geography,Product,Date,Sales,Boxes
Kaine Padly,USA   ,99% Dark & Pure,23-05-2023,"$10,240 ",107
Ches Bonnell,USA ,Smooth Silky Salty,28-02-2023,"$10,337 ",119
Jehu Rudeforth,USA  ,50% Dark Bites,13-04-2023,"$5,114 ",1744
Beverie Moffet,Australia   ,Orange Choco,26-01-2024,"$6,541 ",573
Van Tuxwell,Australia   ,Caramel Stuffed Bars,14-09-2023,"$10,670 ",475
Marney O'Breen,New Zealand,Manuka Honey Choco,06-04-2023,"$7,292 ",7
Van Tuxwell,USA  ,Smooth Silky Salty,02-01-2024,"$8,156 ",88
Van Tuxwell,UK   ,Organic Choco Syrup,03-01-2024,"$5,486 ",681
Dennison Crosswaite,UK   ,50% Dark Bites,12-12-2023,"$5,393 ",52
Oby Sorrel,Canada ,White Choc,16-01-2024,"$7,175 ",598
Gigi Bohling,New Zealand,Choco Coated Almonds,01-08-2023,"$2,016 ",231
Van Tuxwell,New Zealand ,85% Dark Bars,06-04-2023,"$3,134 ",94
Barr Faughny,Australia   ,99% Dark & Pure,28-06-2023,"$5,200 ",304
Andria Kimpton,India  ,85% Dark Bars,27-04-2023,"$4,082 ",554
Barr Faughny,India   ,Organic Choco Syrup,05-09-2023,"$1,382 ",251
Camilla Castle,New Zealand   ,Fruit & Nut Bars,21-03-2023,$909 ,125
Dennison Crosswaite,India   ,Almond Choco,22-08-2023,"$2,077 ",171
Roddy Speechley,USA ,Mint Chip Choco,15-02-2023,$380 ,102
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,20-12-2023,"$1,310 ",528
Roddy Speechley,India   ,Almond Choco,11-07-2023,"$3,985 ",283
Jehu Rudeforth,USA,Choco Coated Almonds,10-04-2023,"$1,418 ",182
Karlen McCaffrey,Australia   ,Fruit & Nut Bars,01-05-2023,"$10,161 ",518
Ches Bonnell,India  ,Mint Chip Choco,12-01-2024,"$6,476 ",377
Kelci Walkden,New Zealand   ,70% Dark Bites,06-10-2023,"$8,388 ",413
Beverie Moffet,Australia  ,Peanut Butter Cubes,29-12-2023,"$8,622 ",387
Gunar Cockshoot,India   ,Baker's Choco Chips,11-04-2023,"$5,371 ",203
Curtice Advani,USA ,Raspberry Choco,27-04-2023,"$2,642 ",227
Andria Kimpton,USA ,Drinking Coco,06-02-2023,"$7,268 ",743
Rafaelita Blaksland,India   ,Raspberry Choco,08-12-2023,"$11,599 ",619
Wilone O'Kielt,UK ,50% Dark Bites,02-03-2023,"$3,697 ",952
Gunar Cockshoot,UK   ,White Choc,13-11-2023,"$5,416 ",329
Oby Sorrel,India,Spicy Special Slims,05-05-2023,"$4,214 ",269
Gunar Cockshoot,USA   ,Peanut Butter Cubes,20-03-2023,"$7,682 ",699
Kaine Padly,New Zealand  ,70% Dark Bites,21-03-2023,"$3,146 ",71
Jehu Rudeforth,Australia  ,Caramel Stuffed Bars,13-07-2023,"$11,171 ",643
Brien Boise,India,Manuka Honey Choco,26-06-2023,"$4,237 ",90
Marney O'Breen,Canada ,Organic Choco Syrup,13-11-2023,$203 ,440
Oby Sorrel,India   ,Baker's Choco Chips,19-01-2024,"$3,431 ",515
Wilone O'Kielt,Canada   ,After Nines,07-09-2023,"$8,717 ",70
Wilone O'Kielt,Canada   ,Eclairs,14-03-2023,"$4,415 ",12
Wilone O'Kielt,Australia ,Almond Choco,28-11-2023,"$3,049 ",388
Gunar Cockshoot,UK   ,Spicy Special Slims,04-05-2023,"$6,705 ",573
Karlen McCaffrey,Canada ,Choco Coated Almonds,25-12-2023,"$9,137 ",63
Wilone O'Kielt,UK ,Drinking Coco,18-12-2023,"$4,887 ",266
Karlen McCaffrey,UK,Baker's Choco Chips,19-02-2024,"$4,172 ",240
Curtice Advani,UK ,50% Dark Bites,07-08-2023,"$7,322 ",1388
Barr Faughny,USA   ,70% Dark Bites,14-04-2023,"$6,766 ",396
Rafaelita Blaksland,New Zealand ,Choco Coated Almonds,24-03-2023,"$2,743 ",413
Gunar Cockshoot,Canada,Drinking Coco,19-05-2023,"$5,132 ",215
Madelene Upcott,Australia,Manuka Honey Choco,20-02-2024,"$4,781 ",153
Gunar Cockshoot,USA,Choco Coated Almonds,06-06-2023,$443 ,525
Husein Augar,India   ,50% Dark Bites,23-08-2023,"$1,179 ",466
Jan Morforth,Australia  ,Manuka Honey Choco,07-02-2024,"$11,624 ",7
Beverie Moffet,Canada,99% Dark & Pure,20-09-2023,$317 ,174
Gunar Cockshoot,USA,Raspberry Choco,12-12-2023,"$7,832 ",1338
Husein Augar,USA ,99% Dark & Pure,21-03-2023,"$12,647 ",64
Wilone O'Kielt,New Zealand   ,Raspberry Choco,04-08-2023,"$6,113 ",284
Marney O'Breen,UK   ,50% Dark Bites,14-11-2023,$2 ,1250
Jehu Rudeforth,Canada,Peanut Butter Cubes,03-08-2023,"$5,861 ",587
Gunar Cockshoot,New Zealand   ,85% Dark Bars,23-11-2023,"$3,258 ",439
Madelene Upcott,New Zealand   ,Mint Chip Choco,27-10-2023,"$3,404 ",390
Gigi Bohling,UK   ,Choco Coated Almonds,13-02-2023,$176 ,800
Ches Bonnell,USA   ,Organic Choco Syrup,13-04-2023,"$2,556 ",673
Jan Morforth,Australia  ,White Choc,31-08-2023,"$1,220 ",409
Marney O'Breen,USA   ,After Nines,21-08-2023,"$9,477 ",182
Wilone O'Kielt,New Zealand   ,Fruit & Nut Bars,08-06-2023,"$6,548 ",514
Andria Kimpton,New Zealand  ,70% Dark Bites,10-04-2023,"$7,648 ",157
Marney O'Breen,Australia ,Caramel Stuffed Bars,04-12-2023,"$2,801 ",166
Barr Faughny,Canada  ,Smooth Silky Salty,04-08-2023,"$4,721 ",888
Andria Kimpton,USA ,Almond Choco,18-07-2023,"$4,979 ",67
Dotty Strutley,India  ,Spicy Special Slims,20-03-2023,"$12,431 ",533
Curtice Advani,Australia  ,Almond Choco,06-03-2023,"$4,822 ",60
Beverie Moffet,UK  ,After Nines,23-06-2023,"$1,046 ",23
Beverie Moffet,Australia ,Drinking Coco,17-03-2023,"$1,528 ",67
Camilla Castle,USA  ,Baker's Choco Chips,19-12-2023,"$1,463 ",37
Rafaelita Blaksland,Australia  ,70% Dark Bites,27-02-2024,"$6,705 ",38
Beverie Moffet,Canada,Mint Chip Choco,04-05-2023,"$5,481 ",271
Rafaelita Blaksland,UK   ,Mint Chip Choco,17-07-2023,"$6,455 ",601
Andria Kimpton,India  ,Smooth Silky Salty,17-08-2023,"$7,747 ",447
Marney O'Breen,Australia   ,Manuka Honey Choco,04-05-2023,"$12,524 ",135
Mallorie Waber,UK ,Organic Choco Syrup,10-10-2023,$124 ,344
Kaine Padly,India,50% Dark Bites,24-02-2023,$392 ,461
Husein Augar,New Zealand  ,Drinking Coco,06-04-2023,"$6,104 ",999
Curtice Advani,USA,50% Dark Bites,12-10-2023,"$2,738 ",1194
Jan Morforth,UK   ,Choco Coated Almonds,13-12-2023,"$6,341 ",263
Madelene Upcott,USA   ,Choco Coated Almonds,08-06-2023,"$1,584 ",72
Beverie Moffet,Canada   ,Manuka Honey Choco,15-12-2023,"$1,240 ",92
Barr Faughny,Canada  ,Peanut Butter Cubes,01-08-2023,"$6,615 ",778
Brien Boise,UK ,Caramel Stuffed Bars,13-04-2023,"$8,764 ",322
Oby Sorrel,India,Orange Choco,21-08-2023,"$9,187 ",254
Marney O'Breen,UK,Raspberry Choco,12-05-2023,"$6,937 ",1537
Dennison Crosswaite,UK ,85% Dark Bars,30-01-2024,"$3,105 ",125
Ches Bonnell,Canada,After Nines,02-02-2023,"$14,105 ",628
Kelci Walkden,New Zealand  ,Eclairs,08-08-2023,$279 ,508
Ches Bonnell,Australia,Caramel Stuffed Bars,15-09-2023,"$12,564 ",226
Marney O'Breen,UK  ,Baker's Choco Chips,13-11-2023,"$4,516 ",141
Ches Bonnell,New Zealand ,Milk Bars,11-04-2023,"$4,111 ",380
Husein Augar,USA  ,85% Dark Bars,05-12-2023,"$4,446 ",184
Van Tuxwell,Australia ,After Nines,02-11-2023,"$3,728 ",249
Curtice Advani,Canada  ,Caramel Stuffed Bars,12-07-2023,$34 ,632
Jan Morforth,UK  ,70% Dark Bites,06-04-2023,"$10,006 ",124
Roddy Speechley,UK  ,Smooth Silky Salty,29-02-2024,"$5,409 ",550
Dennison Crosswaite,Canada,Smooth Silky Salty,14-08-2023,"$15,154 ",767
Mallorie Waber,New Zealand ,White Choc,15-06-2023,"$6,944 ",209
Jehu Rudeforth,New Zealand ,White Choc,19-12-2023,"$5,083 ",203
Kelci Walkden,New Zealand,Orange Choco,30-05-2023,"$1,004 ",220
Madelene Upcott,USA ,After Nines,17-03-2023,"$5,987 ",201
Jehu Rudeforth,New Zealand,Caramel Stuffed Bars,05-06-2023,"$7,828 ",223
Karlen McCaffrey,Canada,50% Dark Bites,09-02-2024,"$3,908 ",508
Barr Faughny,New Zealand  ,Fruit & Nut Bars,08-08-2023,"$4,192 ",683
Andria Kimpton,UK,Organic Choco Syrup,27-07-2023,"$6,694 ",15
Rafaelita Blaksland,India   ,After Nines,19-09-2023,"$4,318 ",62
Karlen McCaffrey,Canada ,Mint Chip Choco,07-04-2023,"$9,083 ",113
Dennison Crosswaite,Australia  ,Choco Coated Almonds,04-05-2023,"$3,805 ",139
Beverie Moffet,Australia ,Smooth Silky Salty,10-01-2024,"$22,082 ",552
Rafaelita Blaksland,Canada ,Raspberry Choco,24-10-2023,"$8,681 ",1221
Curtice Advani,New Zealand,Caramel Stuffed Bars,12-01-2024,"$2,194 ",641
Karlen McCaffrey,India   ,White Choc,08-08-2023,"$4,309 ",311
Mallorie Waber,New Zealand  ,Spicy Special Slims,07-09-2023,"$10,706 ",252
Husein Augar,Australia   ,99% Dark & Pure,28-08-2023,"$2,826 ",452
Brien Boise,Australia   ,Raspberry Choco,01-01-2024,"$3,398 ",84
Karlen McCaffrey,Australia   ,After Nines,29-02-2024,"$8,525 ",37
Oby Sorrel,New Zealand   ,Choco Coated Almonds,08-02-2023,"$3,321 ",604
Marney O'Breen,India  ,Fruit & Nut Bars,02-10-2023,"$9,763 ",1032
Jan Morforth,UK  ,Eclairs,14-06-2023,"$5,834 ",56
Wilone O'Kielt,UK ,White Choc,12-05-2023,"$2,896 ",829
Jehu Rudeforth,USA  ,Milk Bars,11-09-2023,"$2,117 ",134
Andria Kimpton,USA ,99% Dark & Pure,18-08-2023,"$7,173 ",111
Dennison Crosswaite,New Zealand   ,Baker's Choco Chips,11-10-2023,"$7,193 ",40
Andria Kimpton,New Zealand ,Manuka Honey Choco,14-03-2023,"$1,535 ",247
Mallorie Waber,UK ,Spicy Special Slims,13-06-2023,$792 ,116
Husein Augar,New Zealand,Peanut Butter Cubes,18-04-2023,"$4,118 ",233
Curtice Advani,New Zealand  ,Orange Choco,24-02-2023,"$1,235 ",313
Roddy Speechley,Canada   ,Manuka Honey Choco,01-06-2023,"$1,463 ",319
Jan Morforth,Australia  ,Milk Bars,07-12-2023,$554 ,275
Curtice Advani,India  ,Spicy Special Slims,23-08-2023,"$5,594 ",17
Van Tuxwell,New Zealand ,Raspberry Choco,05-07-2023,"$10,917 ",15
Dotty Strutley,Canada   ,Organic Choco Syrup,16-08-2023,"$5,978 ",628
Camilla Castle,India  ,70% Dark Bites,12-07-2023,"$4,028 ",2
Barr Faughny,USA,Choco Coated Almonds,02-10-2023,"$8,132 ",187
Husein Augar,Canada   ,Eclairs,20-02-2023,"$3,067 ",141
Husein Augar,Canada  ,Mint Chip Choco,06-06-2023,"$2,304 ",251
Gunar Cockshoot,New Zealand,99% Dark & Pure,24-08-2023,"$9,475 ",414
Gunar Cockshoot,Australia,Eclairs,27-07-2023,"$2,066 ",51
Rafaelita Blaksland,USA  ,50% Dark Bites,06-03-2023,"$9,407 ",2909
Jan Morforth,Canada  ,Eclairs,26-10-2023,"$3,101 ",384
Brien Boise,USA  ,Raspberry Choco,28-02-2024,"$3,004 ",382
Oby Sorrel,India  ,Organic Choco Syrup,15-01-2024,$864 ,32
Van Tuxwell,India,Orange Choco,02-01-2024,$302 ,325
Wilone O'Kielt,Australia   ,Manuka Honey Choco,28-07-2023,$340 ,77
Gunar Cockshoot,India   ,White Choc,05-01-2024,"$5,992 ",315
Oby Sorrel,Australia,Orange Choco,15-11-2023,"$6,318 ",809
Marney O'Breen,Australia ,Drinking Coco,20-03-2023,"$5,537 ",232
Jan Morforth,India  ,Manuka Honey Choco,19-01-2024,"$6,685 ",26
Kelci Walkden,Australia   ,Manuka Honey Choco,02-08-2023,"$6,651 ",95
Dotty Strutley,UK ,Eclairs,01-11-2023,"$4,923 ",49
Wilone O'Kielt,New Zealand  ,Spicy Special Slims,11-08-2023,"$5,758 ",14
Gigi Bohling,UK  ,Mint Chip Choco,10-08-2023,"$3,481 ",90
Jan Morforth,USA  ,White Choc,03-04-2023,"$3,915 ",336
Ches Bonnell,USA   ,Drinking Coco,09-06-2023,"$3,476 ",42
Gigi Bohling,UK ,Baker's Choco Chips,04-05-2023,$936 ,125
Van Tuxwell,Australia   ,Spicy Special Slims,15-09-2023,"$7,961 ",84
Brien Boise,India,99% Dark & Pure,24-03-2023,"$12,285 ",573
Gunar Cockshoot,New Zealand  ,Orange Choco,21-11-2023,"$9,329 ",534
Marney O'Breen,Australia,Mint Chip Choco,20-10-2023,"$5,348 ",86
Wilone O'Kielt,New Zealand ,Caramel Stuffed Bars,17-03-2023,"$8,964 ",164
Kelci Walkden,Canada ,Baker's Choco Chips,18-07-2023,"$8,807 ",735
Gigi Bohling,India  ,Mint Chip Choco,19-04-2023,"$7,936 ",69
Andria Kimpton,New Zealand  ,Fruit & Nut Bars,01-03-2023,"$12,796 ",474
Oby Sorrel,USA ,99% Dark & Pure,26-09-2023,"$16,027 ",363
Wilone O'Kielt,India  ,Manuka Honey Choco,20-10-2023,$887 ,160
Husein Augar,Canada   ,85% Dark Bars,03-11-2023,"$12,436 ",494
Andria Kimpton,India ,Raspberry Choco,19-10-2023,"$10,564 ",684
Beverie Moffet,New Zealand,After Nines,24-08-2023,"$6,975 ",297
Rafaelita Blaksland,New Zealand   ,Peanut Butter Cubes,01-12-2023,"$4,709 ",477
Barr Faughny,India   ,Caramel Stuffed Bars,06-03-2023,"$2,237 ",18
Kaine Padly,Canada ,Mint Chip Choco,10-02-2023,"$1,175 ",121
Dennison Crosswaite,UK,70% Dark Bites,17-05-2023,"$1,211 ",838
Andria Kimpton,UK ,Milk Bars,14-03-2023,"$4,480 ",258
Gigi Bohling,UK,Smooth Silky Salty,04-09-2023,$502 ,305
Van Tuxwell,USA  ,Peanut Butter Cubes,06-02-2023,"$5,175 ",181
Oby Sorrel,New Zealand  ,White Choc,05-09-2023,"$3,537 ",452
Husein Augar,USA  ,Caramel Stuffed Bars,07-06-2023,"$15,678 ",159
Roddy Speechley,USA   ,Baker's Choco Chips,04-10-2023,"$6,750 ",153
Madelene Upcott,UK  ,Organic Choco Syrup,27-02-2023,"$13,847 ",301
Brien Boise,New Zealand   ,Almond Choco,10-05-2023,"$11,732 ",181
Karlen McCaffrey,UK ,Milk Bars,06-10-2023,"$4,682 ",237
Brien Boise,Canada   ,White Choc,13-04-2023,$272 ,159
Camilla Castle,New Zealand  ,Eclairs,02-05-2023,"$1,496 ",53
Brien Boise,India,Almond Choco,26-02-2024,"$6,595 ",797
Jehu Rudeforth,UK ,Raspberry Choco,11-04-2023,$176 ,808
Curtice Advani,UK ,Caramel Stuffed Bars,26-02-2024,"$7,225 ",45
Gunar Cockshoot,Canada  ,Caramel Stuffed Bars,26-02-2024,"$10,163 ",63
Brien Boise,Australia ,85% Dark Bars,12-01-2024,"$1,829 ",55
Karlen McCaffrey,UK,50% Dark Bites,18-05-2023,$893 ,160
Marney O'Breen,Australia  ,70% Dark Bites,30-10-2023,"$1,888 ",239
Curtice Advani,Canada,Eclairs,11-01-2024,"$2,813 ",70
Marney O'Breen,USA ,70% Dark Bites,03-07-2023,"$1,456 ",53
Roddy Speechley,USA   ,After Nines,04-10-2023,"$2,842 ",95
Andria Kimpton,USA  ,Manuka Honey Choco,13-04-2023,"$3,143 ",207
Kaine Padly,Canada ,Choco Coated Almonds,22-01-2024,"$1,447 ",722
Dotty Strutley,Canada,After Nines,26-01-2024,"$2,180 ",61
Curtice Advani,Australia,Caramel Stuffed Bars,07-09-2023,"$2,129 ",275
Beverie Moffet,Australia   ,Choco Coated Almonds,03-07-2023,"$8,109 ",523
Jan Morforth,Canada   ,70% Dark Bites,13-02-2023,"$2,495 ",199
Kelci Walkden,New Zealand ,Choco Coated Almonds,06-10-2023,"$6,323 ",52
Karlen McCaffrey,Australia  ,Mint Chip Choco,02-05-2023,"$3,065 ",145
Jan Morforth,Canada  ,After Nines,20-12-2023,"$10,008 ",372
Roddy Speechley,Canada  ,Spicy Special Slims,15-08-2023,"$1,006 ",115
Barr Faughny,Australia ,Mint Chip Choco,05-07-2023,"$2,106 ",39
Gunar Cockshoot,Australia  ,Spicy Special Slims,13-07-2023,$38 ,165
Gunar Cockshoot,Australia  ,Orange Choco,02-08-2023,$383 ,409
Roddy Speechley,Canada   ,Baker's Choco Chips,11-01-2024,"$12,229 ",152
Rafaelita Blaksland,USA,Fruit & Nut Bars,19-02-2024,"$7,124 ",476
Wilone O'Kielt,Australia   ,Raspberry Choco,07-12-2023,$754 ,1365
Kaine Padly,Canada,70% Dark Bites,05-05-2023,"$1,492 ",393
Ches Bonnell,New Zealand  ,Eclairs,09-10-2023,"$8,271 ",345
Camilla Castle,India ,Mint Chip Choco,13-12-2023,$709 ,115
Kaine Padly,UK  ,Spicy Special Slims,20-07-2023,"$4,016 ",230
Barr Faughny,India  ,Smooth Silky Salty,19-12-2023,"$18,151 ",359
Gigi Bohling,Canada ,Drinking Coco,26-04-2023,"$7,700 ",415
Karlen McCaffrey,New Zealand,Raspberry Choco,01-06-2023,$983 ,205
Oby Sorrel,USA,50% Dark Bites,25-04-2023,"$7,702 ",1596
Camilla Castle,USA,Manuka Honey Choco,29-01-2024,"$15,275 ",85
Husein Augar,USA  ,Eclairs,18-04-2023,"$1,989 ",2
Dennison Crosswaite,Canada,Drinking Coco,09-11-2023,"$4,379 ",549
Curtice Advani,India ,Caramel Stuffed Bars,12-12-2023,"$8,336 ",194
Curtice Advani,Canada   ,85% Dark Bars,08-02-2023,"$1,181 ",289
Brien Boise,Canada ,Caramel Stuffed Bars,20-03-2023,"$10,127 ",354
Roddy Speechley,Australia  ,Spicy Special Slims,18-12-2023,"$3,746 ",491
Beverie Moffet,UK,70% Dark Bites,23-06-2023,"$1,933 ",121
Rafaelita Blaksland,New Zealand,99% Dark & Pure,22-06-2023,"$14,465 ",381
Roddy Speechley,India   ,99% Dark & Pure,07-06-2023,"$10,571 ",139
Gigi Bohling,UK  ,Raspberry Choco,26-07-2023,"$3,056 ",264
Oby Sorrel,Australia   ,Fruit & Nut Bars,27-12-2023,"$1,492 ",670
Kelci Walkden,Canada,Peanut Butter Cubes,01-08-2023,"$6,100 ",83
Dennison Crosswaite,New Zealand   ,Raspberry Choco,05-04-2023,"$8,010 ",912
Kaine Padly,Australia,Eclairs,16-03-2023,$644 ,24
Beverie Moffet,Australia   ,70% Dark Bites,12-01-2024,"$5,749 ",759
Rafaelita Blaksland,Australia   ,After Nines,13-03-2023,"$11,075 ",122
Brien Boise,UK,Almond Choco,16-02-2023,"$11,693 ",174
Van Tuxwell,UK ,70% Dark Bites,14-09-2023,"$6,872 ",209
Jehu Rudeforth,India   ,Eclairs,24-11-2023,"$5,137 ",113
Karlen McCaffrey,India,Spicy Special Slims,17-05-2023,"$1,166 ",33
